"","unique_squirrel_id","shift","date","age","primary_fur_color","highlight_color","location","Above.Ground.Sighter.Measurement","specific_location","running","chasing","climbing","eating","foraging","moans","tail_flags","tail_twitches","approaches","indifferent","runs_from"
"2369","1B-AM-1012-08","AM",2018-10-12,"Adult","Gray","Cinnamon","Ground Plane","FALSE","",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"2370","30H-AM-1007-02","AM",2018-10-07,"Adult","Gray","","Ground Plane","FALSE","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"2371","9A-AM-1013-01","AM",2018-10-13,"Adult","Gray","Cinnamon","Ground Plane","FALSE","",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"2372","8F-PM-1012-07","PM",2018-10-12,"Adult","Gray","Cinnamon","Above Ground","17","",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2373","35B-PM-1013-03","PM",2018-10-13,"Adult","Gray","","Ground Plane","FALSE","",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"2374","38F-AM-1018-06","AM",2018-10-18,"Adult","Gray","Cinnamon","Ground Plane","FALSE","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"2375","31I-PM-1019-01","PM",2018-10-19,"Adult","Gray","","Ground Plane","FALSE","",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"2376","32E-PM-1017-11","PM",2018-10-17,"Adult","Gray","","Ground Plane","FALSE","",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2377","11F-AM-1013-03","AM",2018-10-13,"Adult","Gray","","Above Ground","30","",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2378","12A-PM-1013-01","PM",2018-10-13,"Adult","Gray","","Ground Plane","FALSE","",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"2379","15C-AM-1010-03","AM",2018-10-10,"Adult","Gray","","Above Ground","6","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"2380","1F-PM-1019-02","PM",2018-10-19,"Adult","Gray","Cinnamon","Above Ground","2","",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
