unique_squirrel_id,shift,date,age,primary_fur_color,highlight_color,location,Above Ground Sighter Measurement,specific_location,running,chasing,climbing,eating,foraging,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
39E-PM-1013-02,PM,10132018,Adult,Cinnamon,Gray,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
9B-PM-1013-06,PM,10132018,Adult,Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
7G-AM-1010-05,AM,10102018,Adult,Gray,Cinnamon,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
22F-PM-1014-01,PM,10142018,Adult,Gray,Cinnamon,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
4A-PM-1007-01,PM,10072018,Adult,Gray,"Cinnamon, White",Ground Plane,FALSE,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
14D-PM-1019-02,PM,10192018,Adult,Gray,,Ground Plane,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10C-AM-1018-02,AM,10182018,Adult,Gray,"Cinnamon, White",Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
33F-PM-1012-02,PM,10122018,Adult,Gray,"Cinnamon, White",Ground Plane,FALSE,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
11B-AM-1007-02,AM,10072018,Adult,Gray,,Ground Plane,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6B-PM-1017-07,PM,10172018,Adult,Gray,Cinnamon,Ground Plane,FALSE,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38D-AM-1017-04,AM,10172018,Adult,Cinnamon,Gray,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13F-PM-1008-05,PM,10082018,Adult,Gray,Cinnamon,Above Ground,2,tree trunk,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
16I-AM-1008-02,AM,10082018,Adult,Cinnamon,"Gray, White",Above Ground,1,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
10F-PM-1019-01,PM,10192018,Adult,Gray,Cinnamon,Above Ground,2,"Behind fence, tree trunk",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
20F-PM-1007-03,PM,10072018,Adult,Gray,White,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35D-PM-1013-06,PM,10132018,Adult,Gray,White,Ground Plane,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
38F-PM-1013-04,PM,10132018,Juvenile,Gray,Cinnamon,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5C-AM-1006-04,AM,10062018,Adult,Cinnamon,Gray,Above Ground,12,thin branch of tree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
14I-PM-1018-01,PM,10182018,Juvenile,Gray,Cinnamon,Above Ground,,Fallen branch,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
33B-PM-1010-06,PM,10102018,Adult,Cinnamon,Gray,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
11B-AM-1007-03,AM,10072018,Adult,Gray,,Ground Plane,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35B-AM-1010-02,AM,10102018,Adult,Gray,Cinnamon,Ground Plane,FALSE,landscaped area,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
19H-PM-1008-01,PM,10082018,Adult,Gray,White,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
15G-PM-1019-06,PM,10192018,Adult,Gray,Cinnamon,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
